Player,Avg_Sal,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
Noah Fant,10.5,16.0,14.0,56.67,43.33,466.67,11.0,1.67,21.67,57.43,44.67,2.73,29.57,76.27,8.37,0.0
Olamide Zaccheaus,1.275,17.0,9.5,62.5,42.5,519.5,12.25,3.0,25.5,52.05,47.0,2.5,30.6,67.95,8.3,2.0
Parris Campbell,1.292,17.0,16.0,91.0,63.0,623.0,9.9,3.0,32.0,54.9,49.0,3.7,36.6,69.2,6.8,1.0
Randall Cobb,3,13.0,3.0,50.0,34.0,417.0,12.3,1.0,19.0,56.0,40.0,2.6,32.1,68.0,8.3,1.0
Rashid Shaheed,5.2,13.5,7.0,54.5,37.0,603.5,16.5,3.5,22.5,58.65,63.0,2.7,44.3,71.85,12.0,1.0
Rashod Bateman,6.435,17.0,14.0,72.0,45.0,756.0,16.8,9.0,35.0,52.8,59.0,2.6,44.5,62.5,10.5,0.0
Richie James,1.232,17.0,4.0,70.0,57.0,569.0,10.0,4.0,29.0,61.4,33.0,3.4,33.5,81.4,8.1,3.0
Robert Woods,7.625,15.5,13.0,83.0,46.5,476.5,10.3,1.5,28.5,47.9,33.5,3.0,30.7,55.75,5.75,0.5
Russell Gage,1.17,13.0,4.0,70.0,51.0,426.0,8.4,5.0,31.0,62.9,23.0,3.9,32.8,72.9,6.1,1.0
Samaje Perine,1.8,17.0,1.0,56.0,50.0,455.0,9.1,0.0,23.0,67.9,29.0,2.9,26.8,89.3,8.1,3.0
Stefon Diggs,22.52,13.67,13.67,126.0,87.33,1036.0,11.63,7.33,54.33,56.97,52.33,6.33,73.63,70.13,8.17,1.0
Terrace Marshall Jr.,1.055,14.0,9.0,47.0,28.0,490.0,17.5,1.0,24.0,53.2,43.0,2.0,35.0,59.6,10.4,2.0
Terry McLaurin,22.788,17.0,17.0,123.0,79.33,1096.33,13.87,7.33,53.0,54.1,62.0,4.63,64.5,64.7,8.97,0.67
Tutu Atwell,10,16.5,9.5,64.5,40.5,522.5,12.9,1.5,27.5,53.75,47.0,2.45,31.65,62.95,8.15,0.0
Tyler Boyd,2.4,16.5,13.5,90.0,62.5,714.5,11.55,3.5,35.0,54.55,62.0,3.75,43.4,69.55,8.05,0.0
Tyler Lockett,14.83,16.67,15.67,104.33,70.67,842.33,11.93,5.33,44.33,58.57,38.0,4.27,50.83,67.6,8.07,0.67
Tyreek Hill,30,16.67,16.67,154.67,106.33,1489.33,13.77,8.67,71.33,55.47,74.0,6.4,89.8,68.5,9.47,0.67
