Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Chigoziem Okonkwo,23,TEN,TE,17,8,46,32,450,14.1,3,22,50.0,48,1.9,26.5,69.6,9.8,0,
Elijah Moore,22,NYJ,WR,16,9,65,37,446,12.1,1,22,44.6,42,2.3,27.9,56.9,6.9,1,
Austin Hooper,28,TEN,TE,17,2,60,41,444,10.8,2,28,60.0,24,2.4,26.1,68.3,7.4,0,
Treylon Burks,22,TEN,WR,11,6,54,33,444,13.5,1,19,50.0,51,3.0,40.4,61.1,8.2,0,
Joe Mixon,26,CIN,RB,14,14,75,60,441,7.4,2,17,50.7,35,4.3,31.5,80.0,5.9,0,
Kendrick Bourne,27,NWE,WR,16,2,48,35,434,12.4,1,22,54.2,41,2.2,27.1,72.9,9.0,2,
Russell Gage,26,TAM,WR,13,4,70,51,426,8.4,5,31,62.9,23,3.9,32.8,72.9,6.1,1,
Romeo Doubs,22,GNB,WR,13,7,67,42,425,10.1,3,20,46.3,26,3.2,32.7,62.7,6.3,2,
Michael Gallup,26,DAL,WR,14,11,74,39,424,10.9,4,25,44.6,27,2.8,30.3,52.7,5.7,0,
Isaiah McKenzie,27,BUF,WR,15,8,65,42,423,10.1,4,27,58.5,30,2.8,28.2,64.6,6.5,0,
Rhamondre Stevenson,24,NWE,RB,17,7,88,69,421,6.1,1,13,39.8,40,4.1,24.8,78.4,4.8,4,
Foster Moreau,25,LVR,TE,15,14,54,33,420,12.7,2,24,51.9,33,2.2,28.0,61.1,7.8,1,
Randall Cobb,32,GNB,WR,13,3,50,34,417,12.3,1,19,56.0,40,2.6,32.1,68.0,8.3,1,
Trent Sherfield,26,MIA,WR,17,4,51,30,417,13.9,2,18,45.1,75,1.8,24.5,58.8,8.2,0,
Jauan Jennings,25,SFO,WR,16,4,56,35,416,11.9,1,23,55.4,44,2.2,26.0,62.5,7.4,1,
