Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
A.J. Brown,26,PHI,WR,17,17,158,106,1456,13.7,7,70,56.3,59,6.2,85.6,67.1,9.2,2,PBAP-2
D.J. Moore,26,CHI,WR,17,17,136,96,1364,14.2,8,64,59.6,58,5.6,80.2,70.6,10.0,1,
Brandon Aiyuk,25,SFO,WR,16,16,105,75,1342,17.9,7,61,70.5,76,4.7,83.9,71.4,12.8,1,AP-2
Nico Collins,24,HOU,WR,15,10,109,80,1297,16.2,8,53,61.5,75,5.3,86.5,73.4,11.9,1,
Mike Evans,30,TAM,WR,17,17,136,79,1255,15.9,13,54,53.7,75,4.6,73.8,58.1,9.2,0,PBAP-2
Amari Cooper,29,CLE,WR,15,15,128,72,1250,17.4,5,50,53.1,75,4.8,83.3,56.3,9.8,2,PB
Keenan Allen,31,LAC,WR,13,13,150,108,1243,11.5,7,57,58.7,42,8.3,95.6,72.0,8.3,2,PB
Ja'Marr Chase,23,CIN,WR,16,16,145,100,1216,12.2,7,63,56.6,76,6.3,76.0,69.0,8.4,1,PB
Stefon Diggs,30,BUF,WR,17,17,160,107,1183,11.1,8,58,55.0,55,6.3,69.6,66.9,7.4,2,PB
Michael Pittman Jr.,26,IND,WR,16,15,156,109,1152,10.6,4,53,51.9,75,6.8,72.0,69.9,7.4,2,
Davante Adams,31,LVR,WR,17,17,175,103,1144,11.1,8,59,48.6,46,6.1,67.3,58.9,6.5,0,
George Pickens,22,PIT,WR,17,16,106,63,1140,18.1,5,42,50.9,86,3.7,67.1,59.4,10.8,3,
Chris Olave,23,NOR,WR,16,11,138,87,1123,12.9,5,57,53.6,51,5.4,70.2,63.0,8.1,0,
D.K. Metcalf,26,SEA,WR,16,16,119,66,1114,16.9,8,52,51.3,73,4.1,69.6,55.5,9.4,0,PB
Justin Jefferson,24,MIN,WR,10,9,100,68,1074,15.8,5,51,61.0,52,6.8,107.4,68.0,10.7,1,
DeVonta Smith,25,PHI,WR,16,16,112,81,1066,13.2,7,47,55.4,63,5.1,66.6,72.3,9.5,1,
DeAndre Hopkins,31,TEN,WR,17,16,137,75,1057,14.1,7,48,43.8,61,4.4,62.2,54.7,7.7,0,
Garrett Wilson,23,NYJ,WR,17,17,168,95,1042,11.0,3,47,44.0,68,5.6,61.3,56.5,6.2,2,
Chris Godwin,27,TAM,WR,17,17,130,83,1024,12.3,2,53,50.0,47,4.9,60.2,63.8,7.9,0,
George Kittle,30,SFO,TE,16,16,90,65,1020,15.7,6,42,60.0,66,4.1,63.8,72.2,11.3,0,PBAP-1
Calvin Ridley,29,JAX,WR,17,17,136,76,1016,13.4,8,49,48.5,59,4.5,59.8,55.9,7.5,1,AP CPoY-7
Adam Thielen,33,CAR,WR,17,17,137,103,1014,9.8,4,56,58.4,32,6.1,59.6,75.2,7.4,2,
Jaylen Waddle,25,MIA,WR,14,14,104,72,1014,14.1,4,47,58.7,60,5.1,72.4,69.2,9.8,0,
Terry McLaurin,28,WAS,WR,17,17,132,79,1002,12.7,4,47,49.2,48,4.6,58.9,59.8,7.6,0,
Travis Kelce,34,KAN,TE,15,15,121,93,984,10.6,5,50,62.0,53,6.2,65.6,76.9,8.1,1,PB
Evan Engram,29,JAX,TE,17,15,143,114,963,8.4,4,47,53.1,34,6.7,56.6,79.7,6.7,3,PB
T.J. Hockenson,26,MIN,TE,15,11,127,95,960,10.1,5,48,53.5,29,6.3,64.0,74.8,7.6,1,
Rashee Rice,23,KAN,WR,16,8,102,79,938,11.9,7,44,61.8,67,4.9,58.6,77.5,9.2,2,AP ORoY-6
Jordan Addison,21,MIN,WR,17,14,108,70,911,13.0,10,38,50.0,62,4.1,53.6,64.8,8.4,0,
Drake London,22,ATL,WR,16,16,110,69,905,13.1,2,45,52.7,45,4.3,56.6,62.7,8.2,0,
Tyler Lockett,31,SEA,WR,17,17,122,79,894,11.3,5,47,58.2,37,4.6,52.6,64.8,7.3,0,
Deebo Samuel,27,SFO,WR,15,15,89,60,892,14.9,7,34,56.2,54,4.0,59.5,67.4,10.0,1,
Sam LaPorta,22,DET,TE,17,14,120,86,889,10.3,10,48,55.8,48,5.1,52.3,71.7,7.4,0,PBAP-2AP ORoY-3
David Njoku,27,CLE,TE,16,16,123,81,882,10.9,6,35,43.9,43,5.1,55.1,65.9,7.2,2,PB
Zay Flowers,23,BAL,WR,16,16,108,77,858,11.1,5,41,55.6,75,4.8,53.6,71.3,7.9,0,AP ORoY-6
Trey McBride,24,ARI,TE,17,12,106,81,825,10.2,3,42,57.5,38,4.8,48.5,76.4,7.8,1,
Jakobi Meyers,27,LVR,WR,16,16,106,71,807,11.4,8,46,54.7,33,4.4,50.4,67.0,7.6,0,
Jayden Reed,23,GNB,WR,16,13,94,64,793,12.4,8,32,51.1,59,4.0,49.6,68.1,8.4,2,AP ORoY-6
Christian Kirk,27,JAX,WR,12,12,85,57,787,13.8,3,34,57.6,57,4.8,65.6,67.1,9.3,2,
Courtland Sutton,28,DEN,WR,16,14,90,59,772,13.1,10,37,54.4,46,3.7,48.3,65.6,8.6,3,
Josh Downs,22,IND,WR,17,9,98,68,771,11.3,2,30,50.0,59,4.0,45.4,69.4,7.9,0,
Darius Slayton,26,NYG,WR,17,13,79,50,770,15.4,4,29,49.4,80,2.9,45.3,63.3,9.7,0,
Jake Ferguson,24,DAL,TE,17,16,102,71,761,10.7,5,40,55.9,40,4.2,44.8,69.6,7.5,0,PB
Jerry Jeudy,24,DEN,WR,16,11,87,54,758,14.0,2,28,46.0,47,3.4,47.4,62.1,8.7,1,
Gabriel Davis,24,BUF,WR,17,17,81,45,746,16.6,7,34,53.1,57,2.6,43.9,55.6,9.2,1,
Cooper Kupp,30,LAR,WR,12,12,95,59,737,12.5,5,33,49.5,62,4.9,61.4,62.1,7.8,0,
Cole Kmet,24,CHI,TE,17,17,90,73,719,9.8,6,36,62.2,53,4.3,42.3,81.1,8.0,1,
Rashid Shaheed,25,NOR,WR,15,8,75,46,719,15.6,5,27,46.7,58,3.1,47.9,61.3,9.6,1,PBAP-1
Diontae Johnson,27,PIT,WR,13,11,87,51,717,14.1,5,37,52.9,71,3.9,55.2,58.6,8.2,1,
Tank Dell,24,HOU,WR,11,8,75,47,709,15.1,7,34,54.7,68,4.3,64.5,62.7,9.5,1,
Romeo Doubs,23,GNB,WR,17,16,96,59,674,11.4,8,41,51.0,36,3.5,39.6,61.5,7.0,1,
Dalton Kincaid,24,BUF,TE,16,11,91,73,673,9.2,2,29,61.5,51,4.6,42.1,80.2,7.4,1,
Tyler Boyd,29,CIN,WR,17,13,98,67,667,10.0,2,28,46.9,64,3.9,39.2,68.4,6.8,0,
Kyle Pitts,23,ATL,TE,17,15,90,53,667,12.6,3,35,52.2,39,3.1,39.2,58.9,7.4,0,
Brandin Cooks,30,DAL,WR,16,15,81,54,657,12.2,8,38,59.3,37,3.4,41.1,66.7,8.1,1,
Tee Higgins,24,CIN,WR,12,11,76,42,656,15.6,5,33,53.9,80,3.5,54.7,55.3,8.6,0,
Elijah Moore,23,CLE,WR,17,12,104,59,640,10.8,2,29,42.3,42,3.5,37.6,56.7,6.2,2,
Dalton Schultz,27,HOU,TE,15,8,88,59,635,10.8,5,35,52.3,31,3.9,42.3,67.0,7.2,1,
Jaxon Smith-Njigba,21,SEA,WR,17,3,93,63,628,10.0,4,29,47.3,35,3.7,36.9,67.7,6.8,0,
Tyler Conklin,28,NYJ,TE,17,12,87,61,621,10.2,0,27,44.8,37,3.6,36.5,70.1,7.1,0,
Curtis Samuel,27,WAS,WR,16,13,91,62,613,9.9,4,26,50.5,37,3.9,38.3,68.1,6.7,0,
Khalil Shakir,23,BUF,WR,17,10,45,39,611,15.7,2,26,73.3,81,2.3,35.9,86.7,13.6,1,
Josh Reynolds,28,DET,WR,17,13,64,40,608,15.2,5,32,56.3,33,2.4,35.8,62.5,9.5,1,
Dallas Goedert,28,PHI,TE,14,14,83,59,592,10.0,3,33,60.2,49,4.2,42.3,71.1,7.1,0,
Breece Hall,22,NYJ,RB,17,16,95,76,591,7.8,4,28,40.0,50,4.5,34.8,80.0,6.2,2,AP CPoY-7
Jonnu Smith,28,ATL,TE,17,6,70,50,582,11.6,3,26,51.4,60,2.9,34.2,71.4,8.3,1,
Dontayvion Wicks,22,GNB,WR,15,6,58,39,581,14.9,4,29,62.1,35,2.6,38.7,67.2,10.0,3,
Josh Palmer,24,LAC,WR,10,6,61,38,581,15.3,2,22,47.5,79,3.8,58.1,62.3,9.5,1,
Marquise Brown,26,ARI,WR,14,14,101,51,574,11.3,4,32,42.6,41,3.6,41.0,50.5,5.7,0,
Noah Brown,27,HOU,WR,10,7,55,33,567,17.2,2,24,52.7,75,3.3,56.7,60.0,10.3,0,
Michael Wilson,23,ARI,WR,13,12,58,38,565,14.9,3,29,56.9,69,2.9,43.5,65.5,9.7,0,
Odell Beckham Jr.,31,BAL,WR,14,6,64,35,565,16.1,3,27,50.0,51,2.5,40.4,54.7,8.8,1,
Christian McCaffrey,27,SFO,RB,16,16,83,67,564,8.4,7,31,55.4,41,4.2,35.3,80.7,6.8,3,PBAP-1AP MVP-3AP OPoY-1
